"","FID","FID_allNY_","Field1","X","Species","Date","Month","Day","Year","Week","Lat","Long","Method","FID_allNY1","FID_allNY_10km","Id","Shape_Leng","Shape_Area","FID_","Deciduous","bobcat","fisher","duplicate"
"12",11,1180,65019,85623,"Canis latrans","8/14/19",8,14,2019,32,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"14",13,1182,65021,85625,"Canis latrans","10/6/19",10,6,2019,39,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"15",14,1183,65022,85626,"Canis latrans","10/15/19",10,15,2019,41,40.63291,-73.61001,"NYS Nuisance Wildlife Complaint",11443,11444,0,12649.1106,9999999.937,11444,0,0.015719726,0.309936859,FALSE
"16",15,848,3314,3314,"Canis latrans","3/12/21",3,12,2021,10,40.645166,-73.877459,"GBIF",4767,4768,0,14904.72629,9605361.758,4768,4.341986068,0.019880226,0.372373627,FALSE
"17",16,1575,74082,94686,"Canis latrans","2/11/16",2,11,2016,5,40.71518,-73.85772,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"18",17,1576,74095,94699,"Canis latrans","2/12/16",2,12,2016,6,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"20",19,1578,74123,94727,"Canis latrans","2/28/16",2,28,2016,8,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"22",21,1580,74129,94733,"Canis latrans","3/7/16",3,7,2016,9,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"24",23,1582,74134,94738,"Canis latrans","3/14/16",3,14,2016,10,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"25",24,1583,74139,94743,"Canis latrans","3/27/16",3,27,2016,12,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"26",25,1584,74145,94749,"Canis latrans","4/4/16",4,4,2016,13,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"27",26,1585,74149,94753,"Canis latrans","4/10/16",4,10,2016,14,40.71763,-73.82987,"Metropolitan Wildlife Network; emammal.si.edu",10568,10569,0,12649.1106,9999999.937,10569,14.570966,0.038945296,0.53716451,FALSE
"28",27,887,50464,71068,"Canis latrans","3/10/17",3,10,2017,9,40.74452,-73.84886,"24067417@N03; flickr.com",11252,11253,0,12649.1106,9999999.937,11253,1.019459686,0.022591661,0.437697615,FALSE
"31",30,628,3023,3023,"Canis latrans","7/12/18",7,12,2018,27,40.774813,-73.892655,"GBIF",228,229,0,14060.77516,9775908.417,229,0,0.020070974,0.396823263,FALSE
"32",31,786,3250,3250,"Canis latrans","2/17/21",2,17,2021,6,40.776321,-73.524211,"GBIF",5989,5990,0,12649.1106,9999999.937,5990,0,0.017139789,0.339500114,FALSE
"33",32,4,2166,2166,"Canis latrans","10/11/16",10,11,2016,40,40.7769,-73.874,"GBIF",228,229,0,14060.77516,9775908.417,229,0,0.020070974,0.396823263,FALSE
"34",33,24,2274,2274,"Canis latrans","3/16/21",3,16,2021,10,40.778945,-73.971113,"GBIF",10814,10815,0,12111.56933,9470849.175,10815,17.09239388,0.022028803,0.366176338,FALSE
"36",35,104,2354,2354,"Canis latrans","4/1/21",4,1,2021,12,40.787037,-73.877626,"GBIF",13939,13940,0,5601.663959,1634341.195,13940,0,0.018554404,0.367810238,FALSE
"38",37,1561,73214,93818,"Canis latrans","3/11/16",3,11,2016,10,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"39",38,1562,73220,93824,"Canis latrans","3/21/16",3,21,2016,11,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"41",40,1564,73227,93831,"Canis latrans","3/25/16",3,25,2016,12,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"44",43,1567,73239,93843,"Canis latrans","4/4/16",4,4,2016,13,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"47",46,1570,73245,93849,"Canis latrans","4/10/16",4,10,2016,14,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"49",48,1572,73252,93856,"Canis latrans","4/15/16",4,15,2016,15,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"51",50,1574,73294,93898,"Canis latrans","5/8/16",5,8,2016,18,40.80873,-73.83443,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"52",51,1560,73190,93794,"Canis latrans","2/20/16",2,20,2016,7,40.81262,-73.85158,"Metropolitan Wildlife Network; emammal.si.edu",13787,13788,0,18944.09935,8648252.385,13788,9.665350239,0.02317883,0.401810296,FALSE
"53",52,1164,64922,85526,"Canis latrans","9/5/19",9,5,2019,35,40.82009,-73.52458,"NYS Nuisance Wildlife Complaint",9724,9725,0,12649.1106,9999999.937,9725,41.82406908,0.037221531,0.507084963,FALSE
"54",53,1163,64921,85525,"Canis latrans","7/30/18",7,30,2018,30,40.84668,-72.96412,"NYS Nuisance Wildlife Complaint",4447,4448,0,12649.1106,9999999.937,4448,55.50055501,0.064564696,0.621518562,FALSE
"55",54,1557,72850,93454,"Canis latrans","2/2/16",2,2,2016,4,40.85615,-73.8767,"Metropolitan Wildlife Network; emammal.si.edu",10511,10512,0,12649.1106,9999999.937,10512,28.93466463,0.032819372,0.43914925,FALSE
"56",55,1558,72856,93460,"Canis latrans","2/7/16",2,7,2016,5,40.85615,-73.8767,"Metropolitan Wildlife Network; emammal.si.edu",10511,10512,0,12649.1106,9999999.937,10512,28.93466463,0.032819372,0.43914925,FALSE
"57",56,1559,72989,93593,"Canis latrans","5/4/16",5,4,2016,17,40.85615,-73.8767,"Metropolitan Wildlife Network; emammal.si.edu",10511,10512,0,12649.1106,9999999.937,10512,28.93466463,0.032819372,0.43914925,FALSE
"60",59,55,2305,2305,"Canis latrans","5/2/21",5,2,2021,17,40.863972,-73.873992,"GBIF",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"61",60,1553,72720,93324,"Canis latrans","3/12/16",3,12,2016,10,40.8667,-73.87484,"Metropolitan Wildlife Network; emammal.si.edu",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"62",61,1554,72721,93325,"Canis latrans","4/25/16",4,25,2016,16,40.8667,-73.87484,"Metropolitan Wildlife Network; emammal.si.edu",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"63",62,63,2313,2313,"Canis latrans","1/8/20",1,8,2020,1,40.867212,-73.811995,"GBIF",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"64",63,615,3010,3010,"Canis latrans","11/15/19",11,15,2019,45,40.867923,-73.87597,"GBIF",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"65",64,806,3270,3270,"Canis latrans","12/26/20",12,26,2020,51,40.870163,-73.798997,"GBIF",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"66",65,793,3257,3257,"Canis latrans","9/22/20",9,22,2020,37,40.872016,-73.608086,"GBIF",8428,8429,0,12649.1106,9999999.937,8429,65.24541993,0.059360788,0.604627394,FALSE
"67",66,1548,72610,93214,"Canis latrans","2/6/16",2,6,2016,5,40.88057,-73.81629,"Metropolitan Wildlife Network; emammal.si.edu",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"68",67,1549,72637,93241,"Canis latrans","2/27/16",2,27,2016,8,40.88057,-73.81629,"Metropolitan Wildlife Network; emammal.si.edu",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"70",69,1551,72656,93260,"Canis latrans","3/7/16",3,7,2016,9,40.88057,-73.81629,"Metropolitan Wildlife Network; emammal.si.edu",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"71",70,1552,72674,93278,"Canis latrans","3/17/16",3,17,2016,10,40.88057,-73.81629,"Metropolitan Wildlife Network; emammal.si.edu",6957,6958,0,28810.54677,8533992.224,6958,55.37424992,0.08551951,0.61933948,FALSE
"72",71,1507,72267,92871,"Canis latrans","2/12/16",2,12,2016,6,40.88654,-73.91818,"Metropolitan Wildlife Network; emammal.si.edu",13020,13021,0,9955.985796,4176264.099,13021,16.4546957,0.019619653,0.31561258,FALSE
"73",72,1510,72323,92927,"Canis latrans","2/29/16",2,29,2016,8,40.88654,-73.91818,"Metropolitan Wildlife Network; emammal.si.edu",13020,13021,0,9955.985796,4176264.099,13021,16.4546957,0.019619653,0.31561258,FALSE
"74",73,1512,72336,92940,"Canis latrans","3/4/16",3,4,2016,9,40.88654,-73.91818,"Metropolitan Wildlife Network; emammal.si.edu",13020,13021,0,9955.985796,4176264.099,13021,16.4546957,0.019619653,0.31561258,FALSE
"75",74,67,2317,2317,"Canis latrans","5/22/20",5,22,2020,20,40.888249,-73.872023,"GBIF",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"76",75,593,2987,2987,"Canis latrans","6/5/21",6,5,2021,22,40.888278,-73.884955,"GBIF",10013,10014,0,12649.1106,9999999.937,10014,23.71742976,0.025291458,0.379579711,FALSE
"77",76,1508,72299,92903,"Canis latrans","2/21/16",2,21,2016,7,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"79",78,1511,72332,92936,"Canis latrans","3/3/16",3,3,2016,8,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"80",79,1513,72345,92949,"Canis latrans","3/8/16",3,8,2016,9,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"81",80,1514,72354,92958,"Canis latrans","3/16/16",3,16,2016,10,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"82",81,1515,72359,92963,"Canis latrans","3/19/16",3,19,2016,11,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"84",83,1517,72366,92970,"Canis latrans","3/25/16",3,25,2016,12,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"86",85,1519,72381,92985,"Canis latrans","4/3/16",4,3,2016,13,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"88",87,1521,72389,92993,"Canis latrans","4/8/16",4,8,2016,14,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"92",91,1525,72404,93008,"Canis latrans","4/18/16",4,18,2016,15,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"93",92,1526,72415,93019,"Canis latrans","4/25/16",4,25,2016,16,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"94",93,1527,72421,93025,"Canis latrans","5/9/16",5,9,2016,18,40.89254,-73.91508,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"114",113,1547,72600,93204,"Canis latrans","5/3/16",5,3,2016,17,40.89323,-73.91218,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"115",114,1464,71957,92561,"Canis latrans","2/18/16",2,18,2016,6,40.89569,-73.91598,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"130",129,1494,72130,92734,"Canis latrans","1/27/16",1,27,2016,3,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"131",130,1495,72134,92738,"Canis latrans","1/31/16",1,31,2016,4,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"133",132,1497,72139,92743,"Canis latrans","2/7/16",2,7,2016,5,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"135",134,1499,72152,92756,"Canis latrans","2/17/16",2,17,2016,6,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"136",135,1500,72166,92770,"Canis latrans","3/4/16",3,4,2016,9,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"137",136,1501,72183,92787,"Canis latrans","3/26/16",3,26,2016,12,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"140",139,1504,72189,92793,"Canis latrans","4/1/16",4,1,2016,13,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"141",140,1505,72202,92806,"Canis latrans","4/15/16",4,15,2016,15,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"142",141,1506,72228,92832,"Canis latrans","5/7/16",5,7,2016,18,40.89573,-73.88309,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"143",142,117,2367,2367,"Canis latrans","2/14/20",2,14,2020,6,40.897567,-73.914292,"GBIF",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"144",143,1490,72120,92724,"Canis latrans","8/1/16",8,1,2016,30,40.89828,-73.89099,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"145",144,1491,72123,92727,"Canis latrans","8/21/16",8,21,2016,33,40.89828,-73.89099,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"146",145,1492,72125,92729,"Canis latrans","8/26/16",8,26,2016,34,40.89828,-73.89099,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"148",147,1460,71934,92538,"Canis latrans","2/2/16",2,2,2016,4,40.89881,-73.91566,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"149",148,1461,71944,92548,"Canis latrans","2/10/16",2,10,2016,5,40.89881,-73.91566,"Metropolitan Wildlife Network; emammal.si.edu",11325,11326,0,9861.107168,3770840.492,11326,31.00405438,0.025426619,0.354803574,FALSE
"163",162,782,3246,3246,"Canis latrans","11/25/20",11,25,2020,47,40.903583,-73.885689,"GBIF",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"171",170,1449,71866,92470,"Canis latrans","2/28/16",2,28,2016,8,40.90372,-73.88123,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"172",171,1450,71895,92499,"Canis latrans","4/9/16",4,9,2016,14,40.90372,-73.88123,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"176",175,1454,71917,92521,"Canis latrans","4/25/16",4,25,2016,16,40.90372,-73.88123,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"177",176,1455,71925,92529,"Canis latrans","5/2/16",5,2,2016,17,40.90372,-73.88123,"Metropolitan Wildlife Network; emammal.si.edu",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"182",181,590,2984,2984,"Canis latrans","2/18/17",2,18,2017,6,40.90441,-73.880249,"GBIF",10787,10788,0,12649.1106,9999999.937,10788,28.12256401,0.041490653,0.431027293,FALSE
"184",183,73,2323,2323,"Canis latrans","10/28/20",10,28,2020,43,40.978742,-73.691467,"GBIF",2031,2032,0,12649.1108,10000000.25,2032,38.21006538,0.028169799,0.353923288,FALSE
"185",184,108,2358,2358,"Canis latrans","1/11/21",1,11,2021,1,41.000268,-73.662999,"GBIF",6489,6490,0,12486.20631,3631502.418,6490,30.64849236,0.02069351,0.294888369,FALSE
"187",186,1155,64870,85474,"Canis latrans","4/15/19",4,15,2019,14,41.02211,-73.7547,"NYS Nuisance Wildlife Complaint",10641,10642,0,12649.1106,9999999.937,10642,12.4145376,0.016518988,0.272295842,FALSE
"192",191,69,2319,2319,"Canis latrans","2/3/21",2,3,2021,4,41.045985,-73.715158,"GBIF",6242,6243,0,12649.1106,9999999.937,6243,92.23941466,0.142912835,0.694659632,FALSE
"195",194,75,2325,2325,"Canis latrans","9/10/19",9,10,2019,36,41.081937,-73.983937,"GBIF",9112,9113,0,12649.1106,9999999.937,9113,60.98767653,0.045785194,0.413226839,FALSE
"198",197,868,3334,3334,"Canis latrans","11/23/21",11,23,2021,46,41.096947,-73.851084,"GBIF",7999,8000,0,12649.1106,9999999.937,8000,92.65922994,0.464948176,0.91866071,FALSE
"207",206,1154,64869,85473,"Canis latrans","9/26/18",9,26,2018,38,41.11197,-73.81199,"NYS Nuisance Wildlife Complaint",4355,4356,0,12649.1106,9999999.937,4356,47.76898165,0.107175358,0.588891664,FALSE
"209",208,823,3287,3287,"Canis latrans","4/14/20",4,14,2020,14,41.11827,-73.810888,"GBIF",4355,4356,0,12649.1106,9999999.937,4356,47.76898165,0.107175358,0.588891664,FALSE
"210",209,1432,71731,92335,"Canis latrans","9/16/19",9,16,2019,36,41.16117,-73.62077,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"211",210,1434,71742,92346,"Canis latrans","9/20/19",9,20,2019,37,41.16117,-73.62077,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"212",211,1441,71810,92414,"Canis latrans","10/24/19",10,24,2019,42,41.16117,-73.62077,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"213",212,1423,71642,92246,"Canis latrans","9/19/19",9,19,2019,37,41.16158,-73.63521,"Snapshot USA - 2019; emammal.si.edu",5177,5178,0,12649.1106,9999999.937,5178,140.2782776,0.666817899,0.96303841,FALSE
"217",216,1436,71751,92355,"Canis latrans","9/24/19",9,24,2019,38,41.16276,-73.61828,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"219",218,1438,71766,92370,"Canis latrans","10/1/19",10,1,2019,39,41.16276,-73.61828,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"220",219,1424,71666,92270,"Canis latrans","9/7/19",9,7,2019,35,41.16464,-73.62547,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"225",224,1429,71705,92309,"Canis latrans","11/2/19",11,2,2019,43,41.16464,-73.62547,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"226",225,1430,71711,92315,"Canis latrans","11/7/19",11,7,2019,44,41.16464,-73.62547,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"227",226,1439,71787,92391,"Canis latrans","10/15/19",10,15,2019,41,41.16598,-73.62167,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"229",228,698,3132,3132,"Canis latrans","9/22/19",9,22,2019,37,41.169557,-74.076786,"GBIF",770,771,0,12649.1108,10000000.25,771,107.024013,0.144741047,0.61669976,FALSE
"232",231,1419,71600,92204,"Canis latrans","10/10/19",10,10,2019,40,41.16982,-73.61371,"Snapshot USA - 2019; emammal.si.edu",5657,5658,0,11330.20883,7261809.34,5658,116.466361,0.554901821,0.980879711,FALSE
"234",233,71,2321,2321,"Canis latrans","4/27/21",4,27,2021,16,41.170162,-74.042199,"GBIF",6895,6896,0,12649.1106,9999999.937,6896,98.54003657,0.167151364,0.651041868,FALSE
"237",236,820,3284,3284,"Canis latrans","2/21/17",2,21,2017,7,41.175452,-73.600493,"GBIF",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"238",237,110,2360,2360,"Canis latrans","7/31/17",7,31,2017,30,41.177999,-73.602851,"GBIF",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"241",240,748,3212,3212,"Canis latrans","10/30/19",10,30,2019,43,41.18194,-73.891854,"GBIF",1110,1111,0,12649.1106,9999999.937,1111,58.31384542,0.05982351,0.481563232,FALSE
"242",241,95,2345,2345,"Canis latrans","7/14/19",7,14,2019,27,41.183883,-73.69645,"GBIF",10590,10591,0,12649.1108,10000000.25,10591,90.56830109,0.523667251,0.921146255,FALSE
"243",242,96,2346,2346,"Canis latrans","1/27/21",1,27,2021,3,41.183939,-73.893314,"GBIF",1110,1111,0,12649.1106,9999999.937,1111,58.31384542,0.05982351,0.481563232,FALSE
"244",243,31,2281,2281,"Canis latrans","2/27/21",2,27,2021,8,41.188867,-73.670638,"GBIF",10590,10591,0,12649.1108,10000000.25,10591,90.56830109,0.523667251,0.921146255,FALSE
"245",244,1414,71397,92001,"Canis latrans","9/15/19",9,15,2019,36,41.18929,-73.62142,"Snapshot USA - 2019; emammal.si.edu",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"246",245,1415,71408,92012,"Canis latrans","10/4/19",10,4,2019,39,41.18929,-73.62142,"Snapshot USA - 2019; emammal.si.edu",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"247",246,1416,71414,92018,"Canis latrans","10/15/19",10,15,2019,41,41.18929,-73.62142,"Snapshot USA - 2019; emammal.si.edu",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"248",247,1412,71380,91984,"Canis latrans","10/27/19",10,27,2019,42,41.19232,-73.6233,"Snapshot USA - 2019; emammal.si.edu",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
"249",248,1413,71383,91987,"Canis latrans","10/29/19",10,29,2019,43,41.19232,-73.6233,"Snapshot USA - 2019; emammal.si.edu",12438,12439,0,12649.1106,9999999.937,12439,125.2848747,0.682115339,0.977262025,FALSE
